identifier,files_changed,edit_locations,lines_added,lines_removed
Chart-1,1,1,1,1
Chart-10,1,1,1,1
Chart-11,1,1,1,1
Chart-12,1,1,1,1
Chart-13,1,1,1,1
Chart-14,2,4,0,12
Chart-15,1,2,0,5
Chart-16,1,2,3,3
Chart-17,1,1,1,2
Chart-18,2,3,3,11
Chart-19,1,2,0,6
Chart-2,1,2,0,14
Chart-20,1,1,1,1
Chart-21,1,3,0,39
Chart-22,1,4,3,32
Chart-23,1,1,0,19
Chart-24,1,1,1,1
Chart-25,1,6,2,14
Chart-26,1,1,0,2
Chart-3,1,1,0,2
Chart-4,1,2,0,2
Chart-5,1,1,1,5
Chart-6,1,1,1,8
Chart-7,0,1,2,2
Chart-8,1,1,1,1
Chart-9,1,1,1,1
Cli-1,1,10,30,31
Cli-10,1,2,1,2
Cli-11,1,1,1,1
Cli-12,1,1,1,6
Cli-13,3,3,1,10
Cli-14,1,2,3,3
Cli-15,1,1,5,14
Cli-16,4,6,0,15
Cli-17,1,1,0,1
Cli-18,1,3,5,2
Cli-19,1,1,2,2
Cli-2,1,1,2,3
Cli-20,1,1,4,9
Cli-21,3,6,0,34
Cli-22,1,7,9,13
Cli-23,1,2,5,6
Cli-24,1,1,2,1
Cli-25,1,1,1,1
Cli-26,1,2,1,5
Cli-27,1,1,2,2
Cli-28,1,1,1,1
Cli-29,1,1,6,2
Cli-3,1,1,1,11
Cli-30,2,2,4,16
Cli-31,3,3,4,4
Cli-32,1,1,5,1
Cli-33,1,2,1,18
Cli-34,2,2,2,2
Cli-35,1,1,0,3
Cli-36,2,3,3,3
Cli-37,1,1,1,7
Cli-38,1,1,1,5
Cli-39,1,2,1,12
Cli-4,1,1,1,3
Cli-40,1,1,1,1
Cli-5,1,1,0,3
Cli-6,1,2,2,6
Cli-7,1,2,2,2
Cli-8,1,1,1,1
Cli-9,1,1,1,2
Closure-1,1,1,0,3
Closure-10,1,1,1,1
Closure-100,1,2,1,8
Closure-101,1,1,3,1
Closure-102,1,1,1,1
Closure-103,2,2,0,8
Closure-104,1,1,1,1
Closure-105,1,2,5,7
Closure-106,2,2,2,4
Closure-107,1,1,0,1
Closure-108,1,4,1,4
Closure-109,1,1,1,5
Closure-11,1,1,2,0
Closure-110,2,6,4,25
Closure-111,1,1,1,2
Closure-112,1,1,3,9
Closure-113,1,1,1,1
Closure-114,1,1,1,1
Closure-115,1,2,11,0
Closure-116,1,2,0,12
Closure-117,1,2,12,12
Closure-118,1,1,0,3
Closure-119,1,1,0,1
Closure-12,1,1,0,6
Closure-120,1,1,0,3
Closure-121,1,1,1,3
Closure-122,1,1,1,2
Closure-123,1,1,1,1
Closure-124,1,1,0,2
Closure-125,1,1,1,1
Closure-126,1,1,4,0
Closure-127,1,1,1,10
Closure-128,1,1,1,4
Closure-129,1,1,0,3
Closure-13,1,1,1,1
Closure-130,1,1,1,1
Closure-131,1,1,1,2
Closure-132,1,1,1,3
Closure-133,1,1,0,1
Closure-134,2,6,10,17
Closure-135,2,3,0,8
Closure-136,2,2,21,9
Closure-137,3,10,43,72
Closure-138,2,3,4,10
Closure-139,1,4,1,32
Closure-14,1,1,1,1
Closure-140,1,3,6,9
Closure-141,2,3,3,25
Closure-142,2,3,0,6
Closure-143,2,2,2,4
Closure-144,4,9,4,43
Closure-145,1,1,0,13
Closure-146,1,1,1,2
Closure-147,6,2,1,7
Closure-148,2,16,77,150
Closure-149,4,7,8,17
Closure-15,1,1,0,3
Closure-150,1,1,15,1
Closure-151,1,3,0,13
Closure-152,1,1,1,4
Closure-153,2,12,20,26
Closure-154,2,6,19,26
Closure-155,3,7,4,70
Closure-156,1,7,11,23
Closure-157,3,7,15,63
Closure-158,3,11,30,76
Closure-159,1,1,4,3
Closure-16,1,2,3,9
Closure-160,1,2,4,4
Closure-161,1,1,0,3
Closure-162,2,6,20,40
Closure-163,2,18,53,127
Closure-164,1,2,0,17
Closure-165,4,10,2,29
Closure-166,1,1,0,6
Closure-167,2,6,14,15
Closure-168,1,1,1,1
Closure-169,6,22,36,119
Closure-17,1,1,1,5
Closure-170,1,1,3,14
Closure-171,2,2,6,4
Closure-172,1,1,0,6
Closure-173,2,2,6,29
Closure-174,3,7,6,15
Closure-175,1,4,19,19
Closure-176,1,3,4,8
Closure-18,1,1,1,1
Closure-19,1,1,0,2
Closure-2,1,1,0,4
Closure-20,1,1,1,2
Closure-21,1,2,19,2
Closure-22,1,1,26,2
Closure-23,1,1,1,7
Closure-24,1,2,3,4
Closure-25,1,2,4,2
Closure-26,1,3,0,5
Closure-27,1,3,3,6
Closure-28,1,1,0,4
Closure-29,1,3,0,10
Closure-3,1,3,2,8
Closure-30,2,4,2,10
Closure-31,1,1,1,0
Closure-32,1,4,3,15
Closure-33,1,1,0,3
Closure-34,2,3,5,3
Closure-35,1,1,15,2
Closure-36,1,1,0,3
Closure-37,2,2,1,5
Closure-38,1,1,1,1
Closure-39,1,2,3,3
Closure-4,1,2,2,2
Closure-40,1,1,3,1
Closure-41,1,2,0,9
Closure-42,1,1,0,7
Closure-43,1,3,0,17
Closure-44,1,1,0,2
Closure-45,1,3,2,6
Closure-46,1,1,16,0
Closure-47,2,2,3,8
Closure-48,1,1,4,7
Closure-49,1,3,8,14
Closure-5,1,1,0,3
Closure-50,1,2,1,6
Closure-51,1,2,1,4
Closure-52,1,1,1,1
Closure-53,1,2,0,4
Closure-54,2,3,3,12
Closure-55,1,1,1,2
Closure-56,1,1,0,4
Closure-57,1,1,1,1
Closure-58,1,1,0,4
Closure-59,1,1,1,2
Closure-6,1,3,8,0
Closure-60,1,2,0,5
Closure-61,1,1,0,6
Closure-62,1,1,1,1
Closure-63,1,1,1,1
Closure-64,1,2,4,4
Closure-65,1,1,1,1
Closure-66,1,1,0,2
Closure-67,1,1,1,1
Closure-68,1,3,1,3
Closure-69,1,1,0,7
Closure-7,1,1,1,5
Closure-70,1,1,1,1
Closure-71,1,1,1,1
Closure-72,2,2,1,3
Closure-73,1,1,1,1
Closure-74,1,2,2,15
Closure-75,1,2,1,4
Closure-76,1,4,6,37
Closure-77,1,1,0,1
Closure-78,1,1,2,0
Closure-79,2,2,1,2
Closure-8,1,1,0,4
Closure-80,1,2,0,2
Closure-81,1,1,0,7
Closure-82,1,1,1,3
Closure-83,1,1,1,4
Closure-84,1,3,0,27
Closure-85,1,3,14,8
Closure-86,1,1,1,1
Closure-87,1,1,1,13
Closure-88,1,1,0,6
Closure-89,2,2,1,4
Closure-9,1,2,1,2
Closure-90,2,2,1,4
Closure-91,1,1,0,9
Closure-92,1,1,1,1
Closure-93,1,1,1,1
Closure-94,1,1,0,19
Closure-95,1,1,0,7
Closure-96,1,1,1,4
Closure-97,1,1,1,2
Closure-98,1,3,0,19
Closure-99,1,2,1,6
Codec-1,3,3,3,3
Codec-10,1,1,1,1
Codec-11,1,7,11,52
Codec-12,1,2,0,29
Codec-13,3,4,1,77
Codec-14,6,8,6,624
Codec-15,1,1,5,6
Codec-16,1,1,1,1
Codec-17,1,1,1,1
Codec-18,1,1,1,1
Codec-2,1,1,1,1
Codec-3,1,1,1,1
Codec-4,1,1,1,1
Codec-5,1,1,0,3
Codec-6,1,3,1,5
Codec-7,1,1,1,1
Codec-8,2,2,10,0
Codec-9,1,1,1,1
Collections-1,1,2,0,6
Collections-10,1,2,2,3
Collections-11,1,1,0,4
Collections-12,1,1,1,2
Collections-13,1,1,1,4
Collections-14,1,1,1,5
Collections-15,1,1,3,3
Collections-16,1,1,1,20
Collections-17,1,2,1,5
Collections-18,1,1,7,13
Collections-19,1,1,2,5
Collections-2,1,5,2,13
Collections-20,1,1,5,3
Collections-21,1,2,1,2
Collections-22,1,1,2,4
Collections-23,1,1,1,6
Collections-24,1,3,1,7
Collections-25,1,3,3,9
Collections-26,1,1,1,1
Collections-27,1,1,0,7
Collections-28,1,1,0,10
Collections-3,1,1,1,1
Collections-4,1,2,6,7
Collections-5,1,1,1,5
Collections-6,1,6,6,6
Collections-7,1,16,14,26
Collections-8,1,2,1,3
Collections-9,1,1,1,1
Compress-1,1,1,0,1
Compress-10,1,2,2,6
Compress-11,1,2,0,2
Compress-12,1,1,1,7
Compress-13,1,1,0,4
Compress-14,1,1,8,1
Compress-15,1,1,5,5
Compress-16,1,1,1,2
Compress-17,1,1,1,2
Compress-18,1,1,0,3
Compress-19,1,1,1,1
Compress-2,1,6,7,32
Compress-20,1,6,6,6
Compress-21,1,1,3,2
Compress-22,1,7,17,5
Compress-23,1,1,1,1
Compress-24,1,1,8,5
Compress-25,1,1,0,1
Compress-26,1,1,0,11
Compress-27,1,1,4,0
Compress-28,1,1,1,4
Compress-29,7,14,0,20
Compress-3,1,4,0,6
Compress-30,1,1,0,3
Compress-31,1,1,3,0
Compress-32,1,1,2,2
Compress-33,2,3,0,15
Compress-34,1,2,1,2
Compress-35,1,2,6,1
Compress-36,1,1,0,3
Compress-37,1,1,1,3
Compress-38,1,1,1,1
Compress-39,1,2,1,8
Compress-4,4,4,3,1
Compress-40,1,3,1,28
Compress-41,1,1,1,2
Compress-42,2,2,1,2
Compress-43,1,4,5,5
Compress-44,1,1,0,6
Compress-45,1,1,1,2
Compress-46,1,1,2,1
Compress-47,1,3,1,14
Compress-5,1,1,2,6
Compress-6,1,2,3,6
Compress-7,1,1,2,3
Compress-8,1,1,10,30
Compress-9,1,2,1,9
Csv-1,1,1,1,1
Csv-10,1,1,0,3
Csv-11,1,1,1,1
Csv-12,1,1,1,1
Csv-13,2,2,2,4
Csv-14,1,1,1,1
Csv-15,1,1,3,1
Csv-16,1,4,2,6
Csv-2,1,1,0,7
Csv-3,1,1,0,3
Csv-4,1,1,1,1
Csv-5,1,1,0,2
Csv-6,1,1,0,2
Csv-7,1,2,0,4
Csv-8,1,2,7,6
Csv-9,1,1,0,3
Gson-1,1,2,1,41
Gson-10,1,1,2,2
Gson-11,1,1,0,1
Gson-12,1,1,0,4
Gson-13,1,1,1,1
Gson-14,1,2,0,8
Gson-15,1,1,1,1
Gson-16,1,1,0,5
Gson-17,1,1,2,3
Gson-18,1,1,0,3
Gson-2,1,1,1,13
Gson-3,1,2,1,17
Gson-4,2,12,19,9
Gson-5,1,1,0,1
Gson-6,1,1,0,2
Gson-7,1,2,2,10
Gson-8,1,5,0,13
Gson-9,3,3,4,16
JacksonCore-1,2,3,2,13
JacksonCore-10,1,2,2,4
JacksonCore-11,1,1,0,1
JacksonCore-12,2,8,6,15
JacksonCore-13,1,1,0,8
JacksonCore-14,1,1,3,3
JacksonCore-15,1,1,0,9
JacksonCore-16,1,3,6,14
JacksonCore-17,1,3,3,44
JacksonCore-18,3,4,8,12
JacksonCore-19,2,2,0,8
JacksonCore-2,2,8,3,49
JacksonCore-20,1,1,1,10
JacksonCore-21,1,2,0,2
JacksonCore-22,1,7,3,16
JacksonCore-23,1,1,0,4
JacksonCore-24,2,4,8,18
JacksonCore-25,1,1,1,1
JacksonCore-26,1,1,0,1
JacksonCore-3,1,1,0,2
JacksonCore-4,1,1,1,4
JacksonCore-5,1,1,1,1
JacksonCore-6,1,1,2,9
JacksonCore-7,1,1,0,3
JacksonCore-8,1,1,1,1
JacksonCore-9,3,6,0,18
JacksonDatabind-1,1,1,0,1
JacksonDatabind-10,2,5,3,19
JacksonDatabind-100,1,1,9,3
JacksonDatabind-101,1,1,1,5
JacksonDatabind-102,1,1,3,0
JacksonDatabind-103,16,26,24,32
JacksonDatabind-104,1,3,0,20
JacksonDatabind-105,1,2,1,5
JacksonDatabind-106,1,1,0,6
JacksonDatabind-107,1,1,1,1
JacksonDatabind-108,1,2,1,31
JacksonDatabind-109,2,5,0,51
JacksonDatabind-11,1,1,2,2
JacksonDatabind-110,1,3,1,3
JacksonDatabind-111,7,9,9,15
JacksonDatabind-112,1,1,1,4
JacksonDatabind-12,1,1,1,3
JacksonDatabind-13,2,2,0,6
JacksonDatabind-14,1,2,1,14
JacksonDatabind-15,5,11,8,35
JacksonDatabind-16,1,1,1,1
JacksonDatabind-17,1,1,1,1
JacksonDatabind-18,1,9,16,66
JacksonDatabind-19,1,1,0,3
JacksonDatabind-2,1,1,0,20
JacksonDatabind-20,1,2,0,2
JacksonDatabind-21,1,2,0,17
JacksonDatabind-22,2,12,17,36
JacksonDatabind-23,1,7,0,29
JacksonDatabind-24,1,1,2,1
JacksonDatabind-25,4,4,4,4
JacksonDatabind-26,1,1,1,3
JacksonDatabind-27,1,1,1,1
JacksonDatabind-28,1,1,4,3
JacksonDatabind-29,1,2,0,7
JacksonDatabind-3,1,2,2,2
JacksonDatabind-30,2,6,0,17
JacksonDatabind-31,1,13,18,44
JacksonDatabind-32,1,2,0,3
JacksonDatabind-33,1,1,1,4
JacksonDatabind-34,1,1,1,1
JacksonDatabind-35,1,1,4,6
JacksonDatabind-36,1,2,0,11
JacksonDatabind-37,1,1,1,1
JacksonDatabind-38,3,6,4,33
JacksonDatabind-39,1,1,0,10
JacksonDatabind-4,1,4,0,8
JacksonDatabind-40,1,1,0,9
JacksonDatabind-41,1,2,2,6
JacksonDatabind-42,1,1,0,3
JacksonDatabind-43,1,2,2,3
JacksonDatabind-44,1,1,0,26
JacksonDatabind-45,1,1,1,2
JacksonDatabind-46,1,1,1,1
JacksonDatabind-47,1,1,0,9
JacksonDatabind-48,2,2,0,12
JacksonDatabind-49,1,1,0,2
JacksonDatabind-5,1,1,0,5
JacksonDatabind-50,1,6,0,42
JacksonDatabind-51,1,1,0,2
JacksonDatabind-52,2,2,1,15
JacksonDatabind-53,2,7,21,76
JacksonDatabind-54,1,2,2,2
JacksonDatabind-55,1,3,1,27
JacksonDatabind-56,1,2,2,12
JacksonDatabind-57,1,1,1,1
JacksonDatabind-58,1,1,0,5
JacksonDatabind-59,4,4,0,46
JacksonDatabind-6,1,2,4,27
JacksonDatabind-60,1,4,1,88
JacksonDatabind-61,2,3,0,9
JacksonDatabind-62,1,1,0,8
JacksonDatabind-63,1,1,2,12
JacksonDatabind-64,1,1,2,7
JacksonDatabind-65,2,3,2,5
JacksonDatabind-66,1,3,1,7
JacksonDatabind-67,1,1,2,3
JacksonDatabind-68,1,10,34,32
JacksonDatabind-69,1,6,6,10
JacksonDatabind-7,1,1,0,12
JacksonDatabind-70,1,1,1,1
JacksonDatabind-71,1,1,1,1
JacksonDatabind-72,1,2,1,3
JacksonDatabind-73,2,4,2,7
JacksonDatabind-74,1,1,0,7
JacksonDatabind-75,1,3,5,6
JacksonDatabind-76,1,1,21,1
JacksonDatabind-77,1,2,1,16
JacksonDatabind-78,1,3,0,25
JacksonDatabind-79,3,4,5,13
JacksonDatabind-8,1,2,1,12
JacksonDatabind-80,1,3,0,4
JacksonDatabind-81,1,7,3,32
JacksonDatabind-82,1,1,1,1
JacksonDatabind-83,1,1,2,0
JacksonDatabind-84,1,1,0,7
JacksonDatabind-85,1,1,11,38
JacksonDatabind-86,1,1,0,7
JacksonDatabind-87,1,8,7,13
JacksonDatabind-88,1,1,0,4
JacksonDatabind-89,1,1,0,6
JacksonDatabind-9,1,1,1,6
JacksonDatabind-90,2,2,1,9
JacksonDatabind-91,1,1,1,9
JacksonDatabind-92,1,1,0,6
JacksonDatabind-93,1,1,2,2
JacksonDatabind-94,1,2,0,5
JacksonDatabind-95,2,4,4,4
JacksonDatabind-96,1,1,1,1
JacksonDatabind-97,1,1,1,1
JacksonDatabind-98,1,1,1,10
JacksonDatabind-99,1,1,0,1
JacksonXml-1,1,2,4,8
JacksonXml-2,1,4,1,27
JacksonXml-3,1,1,2,1
JacksonXml-4,1,1,1,5
JacksonXml-5,1,1,1,1
JacksonXml-6,1,2,0,66
Jsoup-1,1,1,2,2
Jsoup-10,1,1,0,2
Jsoup-11,1,4,0,25
Jsoup-12,1,2,1,15
Jsoup-13,1,1,0,5
Jsoup-14,2,2,0,8
Jsoup-15,1,1,1,1
Jsoup-16,1,3,2,4
Jsoup-17,1,1,1,1
Jsoup-18,1,2,1,2
Jsoup-19,1,1,0,2
Jsoup-2,1,1,0,1
Jsoup-20,1,1,0,2
Jsoup-21,2,3,9,16
Jsoup-22,3,6,2,23
Jsoup-23,2,2,1,19
Jsoup-24,1,1,1,0
Jsoup-25,1,1,1,1
Jsoup-26,1,1,0,1
Jsoup-27,1,1,1,2
Jsoup-28,3,6,38,26
Jsoup-29,1,2,1,2
Jsoup-3,3,13,21,43
Jsoup-30,1,3,8,27
Jsoup-31,3,3,0,9
Jsoup-32,1,1,1,1
Jsoup-33,1,1,0,1
Jsoup-34,1,1,1,1
Jsoup-35,1,1,0,1
Jsoup-36,1,4,1,18
Jsoup-37,1,1,1,1
Jsoup-38,1,1,0,3
Jsoup-39,1,1,0,1
Jsoup-4,1,2,3,3
Jsoup-40,1,1,1,0
Jsoup-41,1,1,1,1
Jsoup-42,1,2,1,2
Jsoup-43,1,1,1,1
Jsoup-44,1,1,0,9
Jsoup-45,1,1,1,1
Jsoup-46,1,1,1,1
Jsoup-47,1,1,1,1
Jsoup-48,1,1,1,11
Jsoup-49,1,1,1,1
Jsoup-5,1,1,1,2
Jsoup-50,1,2,7,14
Jsoup-51,1,1,1,1
Jsoup-52,3,4,25,10
Jsoup-53,1,1,0,5
Jsoup-54,1,1,0,1
Jsoup-55,1,1,0,1
Jsoup-56,5,10,3,25
Jsoup-57,1,1,1,1
Jsoup-58,3,4,2,17
Jsoup-59,1,2,0,2
Jsoup-6,1,1,2,2
Jsoup-60,2,2,0,7
Jsoup-61,1,1,1,1
Jsoup-62,1,1,1,1
Jsoup-63,2,5,14,3
Jsoup-64,1,1,1,1
Jsoup-65,2,3,4,8
Jsoup-66,1,2,5,8
Jsoup-67,1,2,0,4
Jsoup-68,1,1,4,1
Jsoup-69,1,1,0,5
Jsoup-7,1,3,0,22
Jsoup-70,1,1,2,5
Jsoup-71,3,4,0,48
Jsoup-72,1,1,0,2
Jsoup-73,1,4,3,7
Jsoup-74,1,2,1,4
Jsoup-75,1,1,2,1
Jsoup-76,1,1,0,1
Jsoup-77,1,1,1,1
Jsoup-78,1,2,0,5
Jsoup-79,1,2,1,3
Jsoup-8,1,1,1,4
Jsoup-80,1,1,0,2
Jsoup-81,1,2,0,6
Jsoup-82,1,1,0,3
Jsoup-83,2,4,2,7
Jsoup-84,1,1,1,2
Jsoup-85,1,1,1,2
Jsoup-86,1,1,1,1
Jsoup-87,4,47,55,64
Jsoup-88,1,1,1,1
Jsoup-89,1,1,1,2
Jsoup-9,1,1,1,1
Jsoup-90,1,1,0,2
Jsoup-91,2,3,0,15
Jsoup-92,5,8,2,35
Jsoup-93,1,1,0,1
JxPath-1,2,2,2,3
JxPath-10,1,1,1,1
JxPath-11,2,5,2,15
JxPath-12,1,1,1,2
JxPath-13,2,11,24,48
JxPath-14,1,1,0,9
JxPath-15,1,2,2,8
JxPath-16,2,2,3,2
JxPath-17,2,5,14,9
JxPath-18,1,4,5,16
JxPath-19,2,3,6,18
JxPath-2,1,4,1,10
JxPath-20,1,2,1,10
JxPath-21,1,1,1,2
JxPath-22,1,1,3,3
JxPath-3,1,4,1,15
JxPath-4,2,7,28,33
JxPath-5,1,1,3,1
JxPath-6,1,1,2,10
JxPath-7,5,7,16,75
JxPath-8,1,1,0,6
JxPath-9,3,5,22,26
Lang-1,1,1,2,11
Lang-10,1,1,9,0
Lang-11,1,1,0,4
Lang-12,1,1,0,7
Lang-13,1,3,0,19
Lang-14,1,1,0,3
Lang-15,1,2,4,4
Lang-16,1,1,1,1
Lang-17,1,1,9,3
Lang-18,1,1,3,3
Lang-19,1,3,3,9
Lang-2,1,1,0,3
Lang-20,1,2,2,2
Lang-21,1,1,1,1
Lang-22,1,1,1,7
Lang-23,1,2,0,31
Lang-24,1,1,1,1
Lang-25,1,1,27,27
Lang-26,1,1,1,1
Lang-27,1,2,1,4
Lang-28,1,1,0,6
Lang-29,1,1,1,1
Lang-3,1,1,0,4
Lang-30,1,7,5,43
Lang-31,1,1,0,8
Lang-32,1,4,8,17
Lang-33,1,1,1,1
Lang-34,1,2,2,2
Lang-35,1,2,2,2
Lang-36,1,2,1,9
Lang-37,1,1,0,8
Lang-38,1,1,0,1
Lang-39,1,1,0,3
Lang-4,1,3,4,4
Lang-40,1,1,1,8
Lang-41,1,3,2,21
Lang-42,1,1,2,7
Lang-43,1,1,0,1
Lang-44,1,1,0,3
Lang-45,1,1,0,3
Lang-46,1,7,7,10
Lang-47,1,2,0,6
Lang-48,1,1,1,1
Lang-49,1,1,0,3
Lang-5,1,2,0,21
Lang-50,1,2,10,6
Lang-51,1,1,0,1
Lang-52,1,1,0,4
Lang-53,1,1,2,2
Lang-54,1,1,0,3
Lang-55,1,1,0,2
Lang-56,1,2,2,6
Lang-57,1,1,1,1
Lang-58,1,1,2,1
Lang-59,1,1,1,1
Lang-6,1,1,1,1
Lang-60,1,2,2,2
Lang-61,1,1,1,1
Lang-62,1,2,0,8
Lang-63,1,2,20,3
Lang-64,1,2,0,21
Lang-65,1,3,0,30
Lang-7,1,2,3,3
Lang-8,1,3,2,1
Lang-9,1,1,0,3
Math-1,2,2,0,6
Math-10,1,1,0,1
Math-100,1,2,3,3
Math-101,1,1,1,2
Math-102,1,1,0,17
Math-103,1,1,0,10
Math-104,1,1,1,1
Math-105,1,1,1,1
Math-106,1,2,0,8
Math-11,1,1,1,1
Math-12,1,2,1,4
Math-13,1,1,0,9
Math-14,2,2,4,10
Math-15,1,2,1,2
Math-16,1,3,2,21
Math-17,1,1,0,4
Math-18,1,3,4,6
Math-19,1,1,0,13
Math-2,1,1,1,1
Math-20,1,1,1,2
Math-21,1,3,10,13
Math-22,2,2,2,2
Math-23,1,3,2,9
Math-24,1,2,2,2
Math-25,1,1,0,3
Math-26,1,2,2,2
Math-27,1,1,1,1
Math-28,1,4,0,4
Math-29,1,2,4,15
Math-3,1,1,0,3
Math-30,1,1,1,1
Math-31,1,3,33,13
Math-32,1,1,1,1
Math-33,1,1,1,1
Math-34,1,1,1,1
Math-35,1,2,2,2
Math-36,1,2,0,12
Math-37,1,2,2,14
Math-38,1,2,4,4
Math-39,1,1,0,9
Math-4,2,2,0,6
Math-40,1,1,2,8
Math-41,1,1,1,1
Math-42,1,1,1,3
Math-43,1,1,3,3
Math-44,1,3,1,6
Math-45,1,1,0,5
Math-46,1,2,2,2
Math-47,1,4,3,5
Math-48,1,1,0,3
Math-49,1,4,4,4
Math-5,1,1,1,1
Math-50,1,1,4,0
Math-51,1,1,0,9
Math-52,1,2,3,4
Math-53,1,1,0,3
Math-54,1,2,1,7
Math-55,1,2,1,18
Math-56,1,1,7,1
Math-57,1,1,1,1
Math-58,1,1,1,1
Math-59,1,1,1,1
Math-6,7,12,16,14
Math-60,1,1,10,3
Math-61,1,2,2,2
Math-62,1,2,4,3
Math-63,1,1,1,1
Math-64,1,10,8,22
Math-65,1,2,7,2
Math-66,1,6,22,11
Math-67,1,1,2,2
Math-68,1,5,2,12
Math-69,1,1,1,1
Math-7,1,2,9,8
Math-70,1,1,1,1
Math-71,2,2,0,7
Math-72,1,2,2,2
Math-73,1,1,0,4
Math-74,1,1,4,7
Math-75,1,1,1,1
Math-76,1,2,8,14
Math-77,2,2,10,1
Math-78,1,2,0,11
Math-79,1,1,2,2
Math-8,1,1,2,2
Math-80,1,1,1,1
Math-81,1,3,3,4
Math-82,1,1,1,1
Math-83,1,2,3,3
Math-84,1,2,0,9
Math-85,1,1,1,1
Math-86,1,2,3,3
Math-87,1,1,4,2
Math-88,1,1,6,5
Math-89,1,1,0,4
Math-9,1,1,1,2
Math-90,1,2,0,3
Math-91,1,1,2,2
Math-92,1,3,6,49
Math-93,1,3,2,10
Math-94,1,1,1,1
Math-95,1,1,1,3
Math-96,1,1,1,1
Math-97,1,1,2,16
Math-98,2,2,2,2
Math-99,1,2,0,8
Mockito-1,1,1,1,12
Mockito-10,1,3,5,10
Mockito-11,1,1,1,9
Mockito-12,1,1,0,4
Mockito-13,1,1,1,3
Mockito-14,2,4,1,5
Mockito-15,1,2,0,3
Mockito-16,2,3,4,5
Mockito-17,2,4,2,9
Mockito-18,1,1,0,2
Mockito-19,5,9,8,26
Mockito-2,1,3,0,7
Mockito-20,1,2,2,3
Mockito-21,1,2,4,20
Mockito-22,1,1,1,3
Mockito-23,1,5,3,18
Mockito-24,1,1,1,1
Mockito-25,1,5,6,29
Mockito-26,1,1,1,1
Mockito-27,1,1,2,1
Mockito-28,1,1,1,2
Mockito-29,1,1,1,1
Mockito-3,1,2,3,17
Mockito-30,2,2,2,3
Mockito-31,1,2,1,3
Mockito-32,1,2,1,5
Mockito-33,1,1,1,12
Mockito-34,1,1,1,1
Mockito-35,1,3,3,3
Mockito-36,1,2,0,4
Mockito-37,1,1,0,8
Mockito-38,1,1,1,1
Mockito-4,1,3,2,5
Mockito-5,1,1,1,1
Mockito-6,1,20,20,20
Mockito-7,1,1,0,1
Mockito-8,1,1,1,1
Mockito-9,1,2,0,5
Time-1,2,2,4,10
Time-10,1,2,1,2
Time-11,1,1,4,5
Time-12,2,4,2,14
Time-13,1,3,1,5
Time-14,1,1,0,5
Time-15,1,1,0,3
Time-16,1,1,1,1
Time-17,1,1,5,18
Time-18,1,1,0,12
Time-19,1,1,1,1
Time-2,2,3,1,7
Time-20,1,1,2,8
Time-21,1,1,6,16
Time-22,1,1,1,6
Time-23,1,2,8,9
Time-24,1,1,0,5
Time-25,1,1,0,9
Time-26,3,8,8,17
Time-27,1,1,0,2
Time-3,1,10,0,20
Time-4,1,1,1,1
Time-5,1,1,6,12
Time-6,1,3,0,26
Time-7,1,1,1,1
Time-8,1,1,2,5
Time-9,1,3,3,10
